state,end_date,sample_size,candidate_name,pct
Indiana,2024-09-13,1000,Kamala Harris,40.7
Indiana,2024-09-13,1000,Donald Trump,57.9
National,2024-09-13,1177,Kamala Harris,50
National,2024-09-13,1177,Donald Trump,45
National,2024-09-13,1090,Kamala Harris,50
National,2024-09-13,1090,Donald Trump,46
National,2024-09-13,1175,Kamala Harris,48
National,2024-09-13,1175,Donald Trump,44
National,2024-09-13,1090,Kamala Harris,49
National,2024-09-13,1090,Donald Trump,45
National,2024-09-13,3276,Kamala Harris,51
National,2024-09-13,3276,Donald Trump,46
National,2024-09-13,2772,Kamala Harris,51
National,2024-09-13,2772,Donald Trump,47
National,2024-09-13,2196,Kamala Harris,52
National,2024-09-13,2196,Donald Trump,46
National,2024-09-13,3276,Kamala Harris,51
National,2024-09-13,3276,Donald Trump,45
National,2024-09-13,2772,Kamala Harris,50
National,2024-09-13,2772,Donald Trump,46
National,2024-09-13,2196,Kamala Harris,51
National,2024-09-13,2196,Donald Trump,46
North Carolina,2024-09-13,800,Kamala Harris,46
North Carolina,2024-09-13,800,Donald Trump,45
National,2024-09-12,1405,Kamala Harris,47
National,2024-09-12,1405,Donald Trump,42
National,2024-09-12,1690,Kamala Harris,43
National,2024-09-12,1690,Donald Trump,39
